ID,Jurisdiction,Title,Link,Category,Introduction Date
MD-2026RS-HB1615,Maryland,"Cooperative Housing Corporations and Condominiums - Emergency Use of Reserve Funds","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1615?ys=2026RS#",Bill,2026-02-19
DC-B26-0599,District of Columbia,"Emergency Medical Services Clarification Amendment Act of 2026","https://lims.dccouncil.gov/Legislation/B26-0599",Bill,2026-02-19
MD-2026RS-HB1614,Maryland,"Maryland Transportation Authority - Lane Use Control Signal Monitoring Systems","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1614?ys=2026RS#",Bill,2026-02-19
DC-B26-0600,District of Columbia,"Modification Nos. M0003 and M0004 to Contract No. CW116651 with Capital Consulting LLC Approval and Payment Authorization Emergency Act of 2026","https://lims.dccouncil.gov/Legislation/B26-0600",Bill,2026-02-19
DC-PR26-0546,District of Columbia,"Modification Nos. M0003 and M0004 to Contract No. CW116651 with Capital Consulting LLC Approval and Payment Authorization Emergency Declaration Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0546",Resolution,2026-02-19
MD-2026RS-HB1616,Maryland,"Mutual Insurance Holding Companies - Conversion to Mutual Insurers","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1616?ys=2026RS#",Bill,2026-02-19
MD-2026RS-HB1617,Maryland,"Public Health - Health Innovation Zones - Establishment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1617?ys=2026RS#",Bill,2026-02-19
PG-CB-009-2026,Prince George's County,"AN ACT CONCERNING COMPENSATION OF ELECTED OFFICIALS for the purpose of administratively codifying determinations of the 2025-2026 Compensation Review Commission, in accordance with procedures set forth in the Charter and in compliance with State law, including the 2025-2026 Compensation Review Commission’s recommendations to amend the compensation of the County Council Members and the County Executive and, including the Chair and Vice Chair of the County Council; making certain references to State law; and generally relating to the compensation of elected officials.","https://princegeorgescountymd.legistar.com/Gateway.aspx?M=LD&From=RSS&ID=7926029&GUID=26747FB8-2BD6-4CCA-9460-E751E27B622C",Council Bill,2026-02-18
DC-B26-0598,District of Columbia,"Housing Investment Efficiency and Accountability Act of 2026","https://lims.dccouncil.gov/Legislation/B26-0598",Bill,2026-02-18
DC-B26-0597,District of Columbia,"Housing Production Omnibus Amendment Act of 2026","https://lims.dccouncil.gov/Legislation/B26-0597",Bill,2026-02-18
